year,km_driven,fuel,owner,mileage(km/ltr/kg),seats,selling_price
2009,201850,Diesel,second,17.88,5,88000
2016,30000,Diesel,first,26.59,5,561000
2018,15000,Diesel,first,28.4,5,755000
2017,25000,Petrol,first,22.7,5,235000
2011,90000,Petrol,first,20.92,5,165000
2008,80000,Diesel,second,19.3,5,190000
2011,50000,Diesel,first,17.2,5,110000
2012,80000,Diesel,second,13.6,8,320000
2010,110000,Diesel,second,,,330000
2016,38000,Petrol,first,18.6,5,540000
2013,60000,Petrol,first,21.1,5,180000
2016,100000,Petrol,third,15.37,7,270000
2012,30000,Petrol,first,17.5,5,450000
2014,30000,Petrol,first,19.1,5,450000
2015,50000,Petrol,first,18.6,5,200000
2017,42000,Petrol,first,23.84,5,425000
2016,30000,Petrol,first,18.2,5,400000
2009,60000,Petrol,third,19.7,5,125000
2018,14000,Diesel,first,17.1,5,1600000
2015,22000,Petrol,first,17.4,5,900000
2012,90000,Diesel,first,20.54,5,450000
2011,46000,Petrol,first,20.92,5,210000
2018,20000,Petrol,first,18.6,5,801000
2014,15000,Diesel,first,15.42,7,317000
2015,40000,Petrol,second,16.02,7,600000
2014,30000,Petrol,second,18.5,5,330000
2017,15000,Petrol,second,21.1,5,320000
2010,50000,Petrol,first,,,160000
2007,110000,Petrol,second,15.3,5,120000
2009,70000,Petrol,second,19.7,5,130000
2015,80000,Petrol,first,18.2,5,220000
2008,50000,Diesel,third,,,229999
2015,110000,Petrol,first,17.57,5,340000
2013,70000,Diesel,second,19.68,5,200000
2002,50000,Petrol,second,19.7,5,140000
2013,190000,Diesel,first,12.99,8,1000000
2010,100000,Diesel,second,13.6,7,495000
2015,60000,Petrol,first,22.74,5,236000
2015,40000,Petrol,first,20.51,5,390000
2009,90000,Diesel,second,19.3,5,275000
2015,110000,Diesel,first,14.1,7,503000
2017,32000,Diesel,first,24.3,5,775000
2016,30000,Diesel,first,11.36,7,1800000
2016,58000,Diesel,first,19.67,5,850000
2018,5000,Diesel,first,24.3,5,750000
2018,25000,Petrol,first,18.6,5,570000
2018,32000,Petrol,first,18.9,5,580000
2016,30000,Petrol,first,18.7,5,484999
2017,43000,Petrol,first,15.4,7,700000
2012,60000,Petrol,first,17.7,5,415000
2015,50000,Petrol,first,19.34,5,325000
2018,14200,Petrol,first,18.16,5,550000
2017,10000,Petrol,first,21.1,5,300000
2018,25000,Petrol,first,22.7,5,217000
2018,19100,Petrol,first,19,5,700000
2019,25000,Petrol,fourth,20.3,5,466000
2014,54000,Diesel,first,23,5,484999
2018,35000,Diesel,first,22.71,5,670000
2018,20000,Petrol,second,18.9,5,500000
2016,52000,Diesel,first,23.65,5,675000
2011,120000,Diesel,second,23,5,220000
2017,50000,Diesel,first,17.1,5,1650000
2013,120000,Diesel,second,20.77,7,630000
2010,90000,Diesel,second,18.8,5,250000
2004,120000,Petrol,third,18.9,5,120000
2015,101500,Diesel,second,21.14,5,300000
2013,75000,Diesel,first,22.32,5,525000
2011,97500,Petrol,first,,,204999
2011,97500,Petrol,first,,,204999
2016,100000,Diesel,first,15.4,7,1100000
2012,55735,Diesel,second,19.01,5,480000
2014,80000,Diesel,second,15.1,7,605000
2016,50000,Petrol,second,24.7,5,250000
2013,70000,Diesel,second,20,5,245000
2012,76000,Petrol,fourth,20.36,5,210000
2020,1500,Petrol,first,21.21,5,730000
2012,76000,Diesel,first,15.96,7,500000
2015,40000,Petrol,first,20.51,5,400000
2015,60000,Petrol,second,21.1,5,280000
2009,170000,Diesel,third,12.8,8,561000
2013,181491,Diesel,first,13.5,7,950000
2016,53319,Diesel,first,25.44,5,375000
2017,40906,Diesel,first,21.66,5,700000
2012,31711,Petrol,second,17.6,5,375000
2012,43755,Petrol,second,21.1,5,270000
2016,66693,Petrol,first,25.17,5,300000
2010,59549,Petrol,first,19,5,225000
2015,94385,Diesel,first,12.99,8,1350000
2010,73730,Petrol,first,18.2,5,200000
2011,221889,Diesel,first,22.32,5,400000
2013,116104,Diesel,first,25.8,5,500000
2015,150546,Petrol,first,22,5,500000
2013,148120,Diesel,first,14.24,7,1500000
2015,20000,Petrol,second,15.8,5,555000
2018,30000,Petrol,first,18.9,5,580000
2011,142000,Diesel,third,13.7,7,337000
2011,20000,Diesel,first,12.2,10,175000
2009,120000,Diesel,second,18.8,5,180000
2011,80000,Petrol,first,19.81,5,200000
2016,60000,Diesel,first,19.09,5,260000
2016,25000,Petrol,first,23.01,5,350000
2011,50000,Diesel,second,13.6,7,409999
2017,126000,Diesel,first,18.49,7,655000
2015,170000,Diesel,first,26.59,5,370000
2013,24000,Petrol,first,22.74,5,200000
2017,100000,Diesel,second,24.52,7,800000
2019,10000,Petrol,first,24,5,550000
2012,70000,Diesel,second,20,5,300000
2017,40000,Petrol,first,16.8,8,220000
2011,110000,Petrol,first,18.9,5,196000
2008,80000,Petrol,second,19.81,5,135000
2015,16500,Petrol,first,17.57,5,299000
2017,30000,Petrol,first,23.95,5,300000
2017,80000,Diesel,first,24.52,7,720000
2016,50000,Diesel,third,14.1,7,650000
2016,25000,Petrol,first,23.95,5,300000
2019,20000,Diesel,first,24,5,750000
2016,60000,Petrol,first,25.17,5,260000
2011,70000,Diesel,second,22.9,5,300000
2014,50000,Diesel,second,15.96,7,600000
2004,100000,Petrol,second,9,5,275000
2015,52000,Petrol,first,23.95,5,250000
2014,80000,Diesel,first,23.4,5,420000
2015,50000,Petrol,first,21.1,5,235000
2016,60000,Diesel,first,15.4,7,1100000
2019,25000,Petrol,first,23.95,5,360000
2014,50000,Diesel,second,24,5,380000
2016,125000,Diesel,first,22.77,5,650000
2016,80000,Petrol,first,20.51,5,350000
2017,70000,Diesel,first,15.96,9,700000
